Feature,MeanAbsSHAP
rolling_mean_28,0.6133557371997178
is_weekend,0.07087923811720076
sell_price,0.042209356836239185
rolling_mean_7,0.03922295634047371
lag_7,0.03263412496585901
lag_14,0.025055269489826098
lag_28,0.010470259537124861
snap_CA,0.006753076838506031
has_event,0.003509484075994167
week_of_year,0.0014821393794442184
price_change_pct,0.0011577298816319971
month,0.0008691561951858252
snap_TX,0.00039851808988056295
snap_WI,0.00029562111888804446
discount_flag,0.0
